Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
777,orig_lobbyregister_2022-05-04_#R004434,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004434,2022-05-04,,Zentrum für Unternehmensnachfolge an der Universität Mannheim (zentUma) e.V.,Zentrum für Unternehmensnachfolge an der Universität Mannheim (zentUma) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0025241,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",50001.0,60000.0,01/21,12/21,1,10,,,80.0,2022-01-26,,,,
778,orig_lobbyregister_2022-05-04_#R004433,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004433,2022-05-04,,Bodo Schacht,Bodo Schacht,norm_lobbyregister_eintrag_2022-09-19_#0003307,,Unternehmen,1.0,10000.0,01/21,12/21,1,10,,,,,,,,
779,orig_lobbyregister_2022-05-04_#R004432,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004432,2022-05-04,,Energiedienst Holding AG,Energiedienst Holding AG,norm_a_watch_organisation_2022-09-19_#0009397,Aktiengesellschaft (AG),Unternehmen,30001.0,40000.0,01/21,12/21,0,0,,,,,"Wettbewerbszentrale, Zentrale zur Bekämpfung unlauteren Wettbewerbs Frankfurt am Main e.V.,Förderverein Gewerbeschule Villingen-Schwenningen e.V.,SmartGrids BW c/o K.I.T., Hermann-von-Helmholtz-Platz 1, 76344 Eggenstein-Leopoldshafen,Vereinigung Schweizerischer Unternehmen in Deutschland, VSUD,VSE Verband Schweizerischer Elektrizitätsunternehmen,Klimaschutz-Unternehmen e.V. Domstr. 8 14482 Potsdam,Arbeitgeberverband der Elektrizitätswerke Baden-Württemberg e.V., AGV E-Werke Ba-Wü,H2 Regio SBH+ e.V. Katharinenstr. 2 78532 Tuttlingen,Freundekreis der DHBW Duale Hochschulen Baden- Württemberg Lörrach e.V., Dieter-Kaltenbachstraße 20, 79540 Lörrach,Wirtschafsverband Industrieller Unternehmen Baden e.V. wvib,Wirtschaftsrat der CDU e.V., Luisenstraße 44, 10117 Berlin,ECS Elektromobilclub der Schweiz,Regio Basiliensis, Oberrhein-Kooperation, St.-Jakobs-Straße 25, 4010 Basel,Bürgerstiftung Lörrach, Rathausgasse 6, 79540 Lörrach,DWA Deutsche Vereinigung für Wasserwirtschaft, Abwasser und Abfall e.V. (DVGW),Förderverein der Gertrud-Luckner-Realschule Rheinfelden e.V. Zwischen den Bächen 19, 79618 Rheinfelden,Förderverein Freunde des FES Freie evangelische Schule Lörach e.V.,Smart Alliance future matters AG Bellerivestr. 241 CH 8008 Zürich,ISKB Interessenverband Schweizerischer Kleinkraftwerk-Besitzer,Statistisch-Volkswirtschaftliche Gesellschaft Basel SVG, St. Jakobs-Str. 25, 4002 Basel,TRION Netzwerk für Energie und Klima der Trinationalen Metropolregion Oberrhein,,Verein für eine nationale CO²-Abgabe e.V. Alfred-Döblin-Platz 1,79100 Freiburg,""Biofuels Schweiz, Bahnhofstrasse 9, CH-4450 Sissach BL,Verein der Freunde u. Förderer der Gewerblichen Schulen Waldshut e.V.,,LV Landesverein Badische Heimat e.V., Haus Badische Heimat Hansjakobstr. 12, 79117 Freiburg,""AFB Arbeitskreis Fuhrbarkmanagement Bodensee e.V. c/o Uwe Seitz,Chemie und Pharma am Hochrhein e.V. c/o Evonik Untere Kanalstr. 3 / 79618 Rheinfelden",52.0,,
780,orig_lobbyregister_2022-07-21_#R004431,lobbyregister_lobbyist,lobbyregister,2022-07-21,R004431,2022-05-04,2022-07-21,Atriva Therapeutics GmbH,Atriva Therapeutics GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001851,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,01/21,12/21,1,10,,,,,"Bundesverband der Pharmazeutischen Industrie e.V.,Bio Deutschland e.V.",2.0,,
781,orig_lobbyregister_2022-05-04_#R004430,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004430,2022-05-04,,Verband Pfälzischer Brauereien e. V.,Verband Pfälzischer Brauereien e. V.,norm_lobbyregister_eintrag_2022-09-19_#0023397,Eingetragener Verein (e. V.),Arbeitgeberverband,,,,,1,10,Gerd Wollersheim,,5.0,2022-02-22,Industrieverbände Neustadt an der Weinstraße e. V. / Landesvereinigung Unternehmerverbände Rheinland-Pfalz e. V. (LVU) / Süd-Westdeutsche Brauersocietät e.V. / Die deutschen Brauer Deutscher Brauer-Bund e.V. / Fördergemeinschaft Braugerste Rheinland-Pfalz e. V. / Gesellschaft für Hopfenforschung e. V.,1.0,,
782,orig_lobbyregister_2022-05-04_#R004429,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004429,2022-05-04,,EnergyNest GmbH,EnergyNest GmbH,norm_lobbyregister_eintrag_2022-09-19_#0009425,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,Mareike Schumm,,,,,,,
783,orig_lobbyregister_2022-05-04_#R004428,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004428,2022-05-04,,PTC Therapeutics Germany GmbH,PTC Therapeutics Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0019125,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0.0,0.0,01/21,12/21,1,10,Axel Boehnke,,,,,,,
784,orig_lobbyregister_2022-05-04_#R004427,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004427,2022-05-04,,Selfpublisher-Verband e.V.,Selfpublisher-Verband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0020074,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",100001.0,110000.0,01/21,12/21,1,10,,,1033.0,2022-03-14,"Netzwerk Autorenrechte,Bundesverband Leseförderung e.V.,Deutsche Literaturkonferenz e.V.,Verband freier Lektorinnen und Lektoren e.V.",4.0,,
785,orig_lobbyregister_2022-05-03_#R004426,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004426,2022-05-03,,Verband Deutscher Garten-Center e.V.,Verband Deutscher Garten-Center e.V.,norm_lobbyregister_eintrag_2022-09-19_#0023176,Eingetragener Verein (e. V.),Berufsverband,1.0,10000.0,01/21,12/21,1,10,Thomas Buchenau,,314.0,2021-12-31,"Zentralverband Gartenbau e.V.,International Garden Centre Association (IGCA)",2.0,,
786,orig_lobbyregister_2022-05-03_#R004425,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004425,2022-05-03,,Jugend gegen Aids e.V.,Jugend gegen Aids e.V.,norm_lobbyregister_eintrag_2022-09-19_#0015018,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,1,10,Marlon Jost,,35.0,2022-01-24,,,,
787,orig_lobbyregister_2022-05-03_#R004424,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004424,2022-05-03,,IVSH Industrieverband Schneid- und Haushaltwaren e.V.,IVSH Industrieverband Schneid- und Haushaltwaren e.V.,norm_lobbyregister_eintrag_2022-09-19_#0014879,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",10001.0,20000.0,01/21,12/21,1,10,"Rudolf Rohe,Ralf Zimmermann",,87.0,2022-03-16,3,1.0,,
788,orig_lobbyregister_2022-06-15_#R004423,lobbyregister_lobbyist,lobbyregister,2022-06-15,R004423,2022-05-03,,Bundesverband der Öko-Kontrollstellen e.V.,Bundesverband der Öko-Kontrollstellen e.V.,norm_lobbyregister_eintrag_2022-09-19_#0004460,Eingetragener Verein (e. V.),Berufsverband,0.0,0.0,01/21,12/21,1,10,,,16.0,2021-12-31,"Bund Ökologische Lebensmittelwirtschaft e.V. (BÖLW),European Organic Certifiers Council (EOCC)",2.0,,
789,orig_lobbyregister_2022-06-29_#R004422,lobbyregister_lobbyist,lobbyregister,2022-06-29,R004422,2022-05-03,,Ottobock SE & Co. KGaA,Ottobock SE & Co. KGaA,norm_lobbyregister_eintrag_2022-09-19_#0018570,Kommanditgesellschaft auf Aktien (KGaA),Unternehmen,150001.0,160000.0,01/21,12/21,1,10,"Mark Schneider,Klaus Lotz,Berit Hamer,Lukas Eckermann,Philipp Hoefer",,,,"BVmed - Bundesverband Medizintechnologie e.V.,SPECTARIS. Deutscher Industrieverband für Optik, Photonik, Analysen- und Medizintechnik e.V.,German Health Alliance GHA (Industrie-Förderungsgesellschaft mbH),Ghorfa - Arab-German Chamber of Commerce and Industry e.V.",6.0,,
790,orig_lobbyregister_2022-05-03_#R004421,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004421,2022-05-03,,LIV des Maler- und Lackiererhandwerks Thüringen,LIV des Maler- und Lackiererhandwerks Thüringen,norm_lobbyregister_eintrag_2022-09-19_#0016851,Eingetragener Verein (e. V.),Arbeitgeberverband,1.0,10000.0,01/20,12/20,1,10,Isabell Heidenreich,,155.0,2021-09-30,"Bundesverband Farbe Gestaltung Bautenschutz,Hellmut-Frincke-Stiftung e.V.,Gütegemeinschaft Wärmedämmung von Fassaden e.V. (GWF),Europaverband der Selbständigen,Thüringer Handwerkstag",5.0,,
791,orig_lobbyregister_2022-05-03_#R004420,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004420,2022-05-03,,BUND Landesverband Mecklenburg-Vorpommern e.V.,BUND Landesverband Mecklenburg-Vorpommern e.V.,norm_lobbyregister_eintrag_2022-09-19_#0005254,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/20,12/20,11,20,,,5897.0,2022-01-31,"Biopark,PROHVIEH,Förderverein Nationalpark Boddenlandschaft e.V.,european greenbelt,Burg Lenzen",5.0,,
792,orig_lobbyregister_2022-05-03_#R004419,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004419,2022-05-03,,Börse Stuttgart Securities GmbH,Börse Stuttgart Securities GmbH,norm_lobbyregister_eintrag_2022-09-19_#0003343,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,01/21,12/21,0,0,,,,,,,,
793,orig_lobbyregister_2022-05-04_#R004418,lobbyregister_lobbyist,lobbyregister,2022-05-04,R004418,2022-05-03,,Sozialdemokratische Gemeinschaft für Kommunalpolitik in der Bundesrepublik Deutschland e.V.,Sozialdemokratische Gemeinschaft für Kommunalpolitik in der Bundesrepublik Deutschland e.V.,norm_a_watch_organisation_2022-09-19_#0020394,Eingetragener Verein (e. V.),,110001.0,120000.0,01/20,12/20,1,10,"Peter Hamon,Andrea Franz,Alexander Lehmann",,20433.0,2020-12-31,"Deutsche Verband für Raumordnung,RGRE (Deutsche Sektion),PES Local",3.0,,
794,orig_lobbyregister_2022-07-07_#R004417,lobbyregister_lobbyist,lobbyregister,2022-07-07,R004417,2022-05-03,2022-07-07,Georgsmarienhütte Holding GmbH,Georgsmarienhütte Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0012111,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,20001.0,30000.0,01/21,12/21,1,10,"Frank Düssler,Jean-Frédéric Castagnet,Julian Kröger",,,,"Wirtschaftsvereinigung Stahl,VIK - Verband der Industriellen Energie- und Kraftwirtschaft e.V.,Wirtschaftsrat Deutschland",3.0,,
795,orig_lobbyregister_2022-07-05_#R004416,lobbyregister_lobbyist,lobbyregister,2022-07-05,R004416,2022-05-03,,Deutscher Schwerhörigenbund e.V. (DSB),Deutscher Schwerhörigenbund e.V. (DSB),norm_lobbyregister_eintrag_2022-09-19_#0007599,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",500001.0,510000.0,01/20,12/20,11,20,"Kriemhild Egermann-Schuler,Ute Hax",,3080.0,2022-01-01,"PARITÄT- Gesamtverband,BAG-Selbsthilfe,BAGSO,Deutsche Gesellschaft der Hörbehinderten- Selbsthilfe und Fachverbände e.V.,DBR,EHHOH,IFHOH,Liga Selbstvertretung",8.0,,
796,orig_lobbyregister_2022-05-03_#R004415,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004415,2022-05-03,,CO2-Positiv UG,CO2-Positiv UG,norm_lobbyregister_eintrag_2022-09-19_#0005991,Unternehmergesellschaft (UG) (haftungsbeschränkt),Unternehmen,,,,,1,10,,,,,"Allianz für Entwicklung und Klima,Bundesverband nachhaltige Wirtschaft",2.0,,
797,orig_lobbyregister_2022-05-03_#R004414,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004414,2022-05-03,,Elmar Brok,Elmar Brok,norm_lobbyregister_eintrag_2022-09-19_#0009329,,Privatperson,1.0,10000.0,01/21,12/21,0,0,,,,,,,"Rud Pedersen Public Affairs Company Germany GmbH,Sovereign Sustainability & Development Ltd.",2.0
798,orig_lobbyregister_2022-08-12_#R004413,lobbyregister_lobbyist,lobbyregister,2022-08-12,R004413,2022-05-03,2022-08-12,B2P Communications Consulting,B2P Communications Consulting,norm_lobbyregister_eintrag_2022-09-19_#0002122,Gesellschaft mit beschränkter Haftung (GmbH),"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",20001.0,30000.0,01/21,12/21,1,10,"Philipp  Lehmann,Manuel Fuchs,Laura König",,,,,,"Korian Deutschland AG,BIC,Safran Helicopter Engines",3.0
799,orig_lobbyregister_2022-06-14_#R004412,lobbyregister_lobbyist,lobbyregister,2022-06-14,R004412,2022-05-03,,Bestatterverband Thüringen Landungsinnungsverband e.V.,Bestatterverband Thüringen Landungsinnungsverband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0002911,Eingetragener Verein (e. V.),Berufsverband,1.0,10000.0,01/21,12/21,1,10,,,80.0,2021-12-31,Bundesverband Deutscher Bestatter,1.0,,
800,orig_lobbyregister_2022-06-13_#R004411,lobbyregister_lobbyist,lobbyregister,2022-06-13,R004411,2022-05-03,,HIGH END SOCIETY e.V.,HIGH END SOCIETY e.V.,norm_lobbyregister_eintrag_2022-09-19_#0013344,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/21,12/21,1,10,,,67.0,2022-04-01,"VDT Verband Deutscher Tonmeister e.V.,ZVEI Verband der Elektro- und Digitalindustrie e.V.",2.0,,
801,orig_lobbyregister_2022-05-03_#R004410,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004410,2022-05-03,,Verband Deutscher Ferienhausagenturen (VDFA),Verband Deutscher Ferienhausagenturen (VDFA),norm_lobbyregister_eintrag_2022-09-19_#0023172,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,0,0,,,30.0,2022-02-28,,,,
802,orig_lobbyregister_2022-05-03_#R004409,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004409,2022-05-03,,Rolande B.V.,Rolande B.V.,norm_lobbyregister_eintrag_2022-09-19_#0019615,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0.0,0.0,01/21,12/21,1,10,Herbert Boender,,,,Plattform Nachhaltiger Schwerlastverkehr,1.0,,
803,orig_lobbyregister_2022-05-03_#R004408,lobbyregister_lobbyist,lobbyregister,2022-05-03,R004408,2022-05-03,,Baden-Württemberg International Gesellschaft für internationale wirtschaftliche und wissenschaftliche Zusammenarbeit mbH,Baden-Württemberg International Gesellschaft für internationale wirtschaftliche und wissenschaftliche Zusammenarbeit mbH,norm_lobbyregister_eintrag_2022-09-19_#0002133,Gesellschaft mit beschränkter Haftung (GmbH),,0.0,0.0,01/20,12/20,61,70,,,,,,,,
804,orig_lobbyregister_2022-05-02_#R004407,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004407,2022-05-02,,Georg Thieme Verlag,Georg Thieme Verlag,norm_lobbyregister_eintrag_2022-09-19_#0012113,Kommanditgesellschaft (KG),Unternehmen,,,,,1,10,,,,,,,Deutsche Ophthalmologische Gesellschaft e.V. (DOG),1.0
805,orig_lobbyregister_2022-05-02_#R004406,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004406,2022-05-02,,Hondurasdelegation,Hondurasdelegation,norm_lobbyregister_eintrag_2022-09-19_#0013440,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",0.0,0.0,01/21,12/21,11,20,,,,,"EU-LAT Network,Bundeskoordination Internationalismus,Runder Tisch Zentralamerika,Red europeo solidario por Honduras",4.0,,
806,orig_lobbyregister_2022-05-02_#R004405,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004405,2022-05-02,,Initiative Familiennachzug Eritrea,Initiative Familiennachzug Eritrea,norm_lobbyregister_eintrag_2022-09-19_#0014069,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",,,,,0,0,,,,,,,,
807,orig_lobbyregister_2022-05-02_#R004404,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004404,2022-05-02,,Raiffeisen-Holding Niederösterreich-Wien. reg.Gen.m.b.H.,Raiffeisen-Holding Niederösterreich-Wien. reg.Gen.m.b.H.,norm_lobbyregister_eintrag_2022-09-19_#0019229,Eingetragene Genossenschaft (eG),Unternehmen,290001.0,300000.0,01/21,12/21,0,0,,,139.0,2022-01-01,,,,
808,orig_lobbyregister_2022-05-02_#R004403,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004403,2022-05-02,,Acura Zahnärzte GmbH,Acura Zahnärzte GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000276,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0.0,0.0,01/20,12/20,1,10,,,,,"BNZK e.V. - Bundesverband für nachhaltige Zahnheilkunde,Wirtschaftsrat der CDU e.V.",2.0,,
809,orig_lobbyregister_2022-05-02_#R004402,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004402,2022-05-02,,Planet A GmbH,Planet A GmbH,norm_lobbyregister_eintrag_2022-09-19_#0018833,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0.0,0.0,10/21,12/21,1,10,,,,,DENA,1.0,,
810,orig_lobbyregister_2022-06-07_#R004401,lobbyregister_lobbyist,lobbyregister,2022-06-07,R004401,2022-05-02,,Bauernverband Ludwigslust e.V.,Bauernverband Ludwigslust e.V.,norm_lobbyregister_eintrag_2022-09-19_#0002300,Eingetragener Verein (e. V.),Berufsverband,,,,,1,10,,,208.0,2022-02-24,Bauernverband Mecklenburg-Vorpommern e.V.,1.0,,
811,orig_lobbyregister_2022-05-02_#R004400,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004400,2022-05-02,,Bundesverband GebäudeGrün e.V.,Bundesverband GebäudeGrün e.V.,norm_lobbyregister_eintrag_2022-09-19_#0004806,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/20,12/20,11,20,Sylvia van  Meegen,,418.0,2022-04-22,"Forschungsgesellschaft Landschaftsentwicklung Landschaftsbau e.V. (FLL),Fachverband Baustoffe und Bauteile für vorgehängte hinterlüftete Fassaden e.V. (FVHF),Fachvereinigung Betriebs- und Regenwassernutzung e.V. (FBR),Bund für Umwelt und Naturschutz Deutschland e.V. (BUND) - Bundesverband -,Europäische Föderation Bauwerksbegrünung (EFB),Verband für Bauwerksbegrünung (VFB),Schweizerische Fachvereinigung Gebäudebegrünung (SFG),World Green Infrastructure Network (WGIN)",8.0,,
812,orig_lobbyregister_2022-09-14_#R004399,lobbyregister_lobbyist,lobbyregister,2022-09-14,R004399,2022-05-02,2022-09-14,Bund klassischer Homöopathen Deutschlands e.V.,Bund klassischer Homöopathen Deutschlands e.V.,norm_lobbyregister_eintrag_2022-09-19_#0005252,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/21,12/21,1,10,,,5.0,2022-04-19,,,,
813,orig_lobbyregister_2022-05-02_#R004398,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004398,2022-05-02,,decarbon1ze GmbH,decarbon1ze GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006404,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,,,,
814,orig_lobbyregister_2022-05-02_#R004397,lobbyregister_lobbyist,lobbyregister,2022-05-02,R004397,2022-05-02,,Initiativausschuss für Migrationspolitik in Rheinland-Pfalz,Initiativausschuss für Migrationspolitik in Rheinland-Pfalz,norm_lobbyregister_eintrag_2022-09-19_#0014034,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1.0,10000.0,01/21,12/21,1,10,Ann-Christin Bölter,,,,United for Intercultural Action,1.0,,
815,orig_lobbyregister_2022-06-14_#R004396,lobbyregister_lobbyist,lobbyregister,2022-06-14,R004396,2022-05-02,,Roga Dienstleistungs- u. Vermögensverwaltungsges. mbH,Roga Dienstleistungs- u. Vermögensverwaltungsges. mbH,norm_lobbyregister_eintrag_2022-09-19_#0019605,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,01/21,12/21,1,10,,,,,,,,
816,orig_lobbyregister_2022-05-01_#R004395,lobbyregister_lobbyist,lobbyregister,2022-05-01,R004395,2022-05-01,,Christian Rucker,Christian Rucker,norm_lobbyregister_eintrag_2022-09-19_#0005838,,Privatperson,,,,,1,10,,,,,,,RMRC GmbH,1.0
817,orig_lobbyregister_2022-05-01_#R004394,lobbyregister_lobbyist,lobbyregister,2022-05-01,R004394,2022-05-01,,Tamara Kusnierz,Tamara Kusnierz,norm_lobbyregister_eintrag_2022-09-19_#0021469,,Privatperson,1.0,10000.0,01/21,12/21,1,10,,,,,,,,
818,orig_lobbyregister_2022-04-30_#R004393,lobbyregister_lobbyist,lobbyregister,2022-04-30,R004393,2022-04-30,,Frank Goebel,Frank Goebel,norm_lobbyregister_eintrag_2022-09-19_#0011505,,Privatperson,,,,,0,0,,,,,,,,
819,orig_lobbyregister_2022-04-30_#R004392,lobbyregister_lobbyist,lobbyregister,2022-04-30,R004392,2022-04-30,,Deutsche Renten Information e.V. Verein zur Förderung der Transparenz in der Altersvorsorge,Deutsche Renten Information e.V. Verein zur Förderung der Transparenz in der Altersvorsorge,norm_lobbyregister_eintrag_2022-09-19_#0007302,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20001.0,30000.0,01/20,12/20,1,10,,,13.0,2022-03-31,,,,
820,orig_lobbyregister_2022-06-07_#R004391,lobbyregister_lobbyist,lobbyregister,2022-06-07,R004391,2022-04-30,,HAARDT MOBILITY CONSULT GmbH,HAARDT MOBILITY CONSULT GmbH,norm_lobbyregister_eintrag_2022-09-19_#0012921,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,30001.0,40000.0,01/21,12/21,1,10,Ottmar Haardt,,,,,,TÜV Rheinland AG,1.0
821,orig_lobbyregister_2022-04-29_#R004390,lobbyregister_lobbyist,lobbyregister,2022-04-29,R004390,2022-04-29,,Windland Energieerzeugungs GmbH,Windland Energieerzeugungs GmbH,norm_lobbyregister_eintrag_2022-09-19_#0024554,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,,,,
822,orig_lobbyregister_2022-04-29_#R004389,lobbyregister_lobbyist,lobbyregister,2022-04-29,R004389,2022-04-29,,German Society of Residents in Urology e.V. (GeSRU),German Society of Residents in Urology e.V. (GeSRU),norm_lobbyregister_eintrag_2022-09-19_#0012180,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/21,12/21,1,10,,,1993.0,2022-01-01,"European Society of Residents in Urology (ESRU),Bündnis Junge Ärzte (BJÄ)",2.0,,
823,orig_lobbyregister_2022-04-29_#R004388,lobbyregister_lobbyist,lobbyregister,2022-04-29,R004388,2022-04-29,,WALA Heilmittel GmbH,WALA Heilmittel GmbH,norm_lobbyregister_eintrag_2022-09-19_#0024260,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,20001.0,30000.0,01/20,12/20,1,10,Lea Balliel,,,,"Bundesverband Pharmazeutische Industrie e.V.,Bundesverband der Arzneimittel Hersteller e.V.,Hufelandgesellschaft e.V.,Damid e.V.",4.0,,
824,orig_lobbyregister_2022-04-29_#R004387,lobbyregister_lobbyist,lobbyregister,2022-04-29,R004387,2022-04-29,,Verband Hamburger und Bremer Schiffsmakler,Verband Hamburger und Bremer Schiffsmakler,norm_lobbyregister_eintrag_2022-09-19_#0023358,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,90001.0,100000.0,01/21,12/21,1,10,,,125.0,2021-09-21,ZVDS e.V.,1.0,,
825,orig_lobbyregister_2022-04-29_#R004386,lobbyregister_lobbyist,lobbyregister,2022-04-29,R004386,2022-04-29,,Zentralverband Deutscher Schiffsmakler,Zentralverband Deutscher Schiffsmakler,norm_lobbyregister_eintrag_2022-09-19_#0025186,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001.0,50000.0,01/21,12/21,1,10,,,234.0,2021-09-21,FONASBA,1.0,,
826,orig_lobbyregister_2022-04-29_#R004385,lobbyregister_lobbyist,lobbyregister,2022-04-29,R004385,2022-04-29,,Deloitte Consulting GmbH,Deloitte Consulting GmbH,norm_lobbyregister_eintrag_2022-09-19_#0006461,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,06/20,05/21,1,10,,,,,"BDU Bundesverband Deutscher Unternehmensberater e.V.,Bundesverband Materialwirtschaft, Einkauf und Logistik e.V.,Bundesvereinigung Logistik e.V.,Deutschland sicher im Netz e.V.,Institut der Norddeutschen Wirtschaft e.V.,Internationaler Controller Verein e.V.,Verband der Kreditplattformen e.V.",8.0,,
827,orig_lobbyregister_2022-05-05_#R004384,lobbyregister_lobbyist,lobbyregister,2022-05-05,R004384,2022-04-29,,Tantramassage-Verband e.V. (TMV),Tantramassage-Verband e.V. (TMV),norm_lobbyregister_eintrag_2022-09-19_#0021471,Eingetragener Verein (e. V.),Berufsverband,1.0,10000.0,01/21,12/21,0,0,,,64.0,2022-04-15,,,,
