Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
2673,orig_lobbyregister_2022-03-02_#R002533,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002533,2022-03-02,,Schweißelektroden-Vereinigung,Schweißelektroden-Vereinigung,norm_lobbyregister_eintrag_2022-09-19_#0020008,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/20,12/20,1,10,Mario Bertling,,14.0,2020-12-31,"WSM Wirtschaftsverband Stahl- und Metallverarbeitung e.V.,DVS Deutscher Verband für Schweißen und verwandte Verfahren e. V.",2.0,,
2674,orig_lobbyregister_2022-03-02_#R002532,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002532,2022-03-02,,Pfeifer & Langen GmbH & Co. KG,Pfeifer & Langen GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0018764,Sonstige Personengesellschaft,Unternehmen,170001.0,180000.0,01/20,12/20,1,10,"Marc Krause,Oliver Baron,Meike Veit",,,,"Verein der Zuckerindustrie e.V. (VdZ),Wirtschaftliche Vereinigung Zucker e.V. (WVZ),BDSI-Bundesverband der Deutsche Süßwarenindustrie e. V.,wafg-Wirtschaftsvereinigung Alkoholfreie Getränke e.V.,Ost-Ausschuss der Deutschen Wirtschaft e.V.,Bundesvereinigung der Deutschen Ernährungsindustrie e.V.,Lebensmittelverband Deutschland e. V.,Markenverband",8.0,,
2675,orig_lobbyregister_2022-07-19_#R002531,lobbyregister_lobbyist,lobbyregister,2022-07-19,R002531,2022-03-02,2022-07-19,Kampagne für Saubere Kleidung,Kampagne für Saubere Kleidung,norm_lobbyregister_eintrag_2022-09-19_#0015311,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,02/21,12/21,0,0,,,30.0,2022-02-21,Clean Clothes Campaign (CCC),1.0,,
2676,orig_lobbyregister_2022-05-21_#R002530,lobbyregister_lobbyist,lobbyregister,2022-05-21,R002530,2022-03-02,,Eine Welt Forum Düsseldorf e.V.,Eine Welt Forum Düsseldorf e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009228,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,1,10,,,71.0,2022-02-22,Eine Welt Netz NRW,1.0,,
2677,orig_lobbyregister_2022-03-02_#R002529,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002529,2022-03-02,,LOTTO Hamburg GmbH,LOTTO Hamburg GmbH,norm_lobbyregister_eintrag_2022-09-19_#0016915,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,01/21,12/21,1,10,Ulrike Hiller,,,,"Bundesverband der deutschen Glücksspielunternehmen e.V.,Industrieverband Hamburg e.V.",2.0,,
2678,orig_lobbyregister_2022-04-01_#R002528,lobbyregister_lobbyist,lobbyregister,2022-04-01,R002528,2022-03-01,,The Good Advisory GmbH,The Good Advisory GmbH,norm_lobbyregister_eintrag_2022-09-19_#0021641,Gesellschaft mit beschränkter Haftung (GmbH),"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",,,,,1,10,,,,,,,Indigo Agriculture Europe GmbH,1.0
2679,orig_lobbyregister_2022-04-04_#R002527,lobbyregister_lobbyist,lobbyregister,2022-04-04,R002527,2022-03-01,,Deutscher Brownfield Verband e.V.,Deutscher Brownfield Verband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007251,Eingetragener Verein (e. V.),,0.0,0.0,01/21,12/21,1,10,,,105.0,2022-02-24,Zentraler Immobilien Ausschuss (ZIA),1.0,,
2680,orig_lobbyregister_2022-06-30_#R002526,lobbyregister_lobbyist,lobbyregister,2022-06-30,R002526,2022-03-01,2022-06-30,vdw Sachsen Verband der Wohnungs- und Immobilienwirtschaft e.V.,vdw Sachsen Verband der Wohnungs- und Immobilienwirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0022713,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,60001.0,70000.0,01/21,12/21,1,10,"Alexander Müller,Steffen Schneider,Tanja Rahn",,145.0,2021-12-31,"GdW Bundesverband deutscher Wohnungs- und Immobilienunternehmen e.V.,Verband Sächsischer Wohnungsgenossenschaften e. V.,Initiative Wohnen 2050 e.V.,AGV Arbeitgeberverband der Deutschen Immobilienwirtschaft e. V.,DESWOS Deutsche Entwicklungshilfe für soziales Wohnungs- und Siedlungswesen e. V.,GDD Gesellschaft für Datenschutz und Datensicherheit e. V.,Bundesarbeitsgemeinschaft Wohnungsanpassung e.V.",7.0,,
2681,orig_lobbyregister_2022-04-06_#R002525,lobbyregister_lobbyist,lobbyregister,2022-04-06,R002525,2022-03-01,,Charter of Trust,Charter of Trust,norm_lobbyregister_eintrag_2022-09-19_#0005787,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",0.0,0.0,09/20,08/21,51,60,,,15.0,2022-02-18,,,,
2682,orig_lobbyregister_2022-06-14_#R002524,lobbyregister_lobbyist,lobbyregister,2022-06-14,R002524,2022-03-01,,UBW Service GmbH,UBW Service GmbH,norm_lobbyregister_eintrag_2022-09-19_#0022040,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,01/20,12/20,1,10,"Christopher Busch,Manuel Geiger",,,,,,"Forum Luft- und Raumfahrt Baden-Württemberg e.V.,ZVEI e.V., Landesstelle Baden-Württemberg,Forum Luft- und Raumfahrt Baden-Württemberg e.V.,ZVEI e. V. - Verband der Elektro- und Digitalindustrie",5.0
2683,orig_lobbyregister_2022-03-01_#R002523,lobbyregister_lobbyist,lobbyregister,2022-03-01,R002523,2022-03-01,,Long COVID Deutschland (LCD),Long COVID Deutschland (LCD),norm_lobbyregister_eintrag_2022-09-19_#0016910,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",,,,,1,10,,,,,,,,
