Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
68,orig_lobbyregister_2022-09-01_#0014254,lobbyregister_client,lobbyregister,2022-09-01,Alzchem Trostberg GmbH,Alzchem Trostberg GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001001,
69,orig_lobbyregister_2022-09-01_#0014255,lobbyregister_client,lobbyregister,2022-09-01,Amadeus IT Group,Amadeus IT Group,norm_lobbyregister_eintrag_2022-09-19_#0001004,
70,orig_lobbyregister_2022-06-20_#0014256,lobbyregister_client,lobbyregister,2022-06-20,Amarin Germany GmbH,Amarin Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001009,
71,orig_lobbyregister_2022-09-14_#0014257,lobbyregister_client,lobbyregister,2022-09-14,Amazon Deutschland Services GmbH,Amazon Deutschland Services GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001011,
72,orig_lobbyregister_2022-06-02_#0014258,lobbyregister_client,lobbyregister,2022-06-02,Amazon Web Services EMEA SARL,Amazon Web Services EMEA SARL,norm_lobbyregister_eintrag_2022-09-19_#0001012,
73,orig_lobbyregister_2022-02-28_#0014259,lobbyregister_client,lobbyregister,2022-02-28,AmCham Germany e.V.,AmCham Germany e.V.,norm_lobbyregister_eintrag_2022-09-19_#0001027,
74,orig_lobbyregister_2022-04-25_#0014260,lobbyregister_client,lobbyregister,2022-04-25,AMD,AMD,norm_lobbyregister_eintrag_2022-09-19_#0001031,
75,orig_lobbyregister_2022-09-07_#0014261,lobbyregister_client,lobbyregister,2022-09-07,amedes Medizinische Dienstleistungen,amedes Medizinische Dienstleistungen,norm_lobbyregister_eintrag_2022-09-19_#0001032,
76,orig_lobbyregister_2022-08-04_#0014262,lobbyregister_client,lobbyregister,2022-08-04,American Express Europe S.A. (Germany branch),American Express Europe S.A. (Germany branch),norm_lobbyregister_eintrag_2022-09-19_#0001055,
77,orig_lobbyregister_2022-09-16_#0014263,lobbyregister_client,lobbyregister,2022-09-16,American Express Services Europe Limited (AESEL),American Express Services Europe Limited (AESEL),norm_lobbyregister_eintrag_2022-09-19_#0001057,
78,orig_lobbyregister_2022-03-17_#0014264,lobbyregister_client,lobbyregister,2022-03-17,Amprion,Amprion,norm_lobbyregister_eintrag_2022-09-19_#0001073,
79,orig_lobbyregister_2022-09-07_#0014265,lobbyregister_client,lobbyregister,2022-09-07,Amprion GmbH,Amprion GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001074,
80,orig_lobbyregister_2022-09-16_#0014266,lobbyregister_client,lobbyregister,2022-09-16,Amylyx Pharmaceuticals Germany,Amylyx Pharmaceuticals Germany,norm_lobbyregister_eintrag_2022-09-19_#0001082,
81,orig_lobbyregister_2022-05-17_#0014267,lobbyregister_client,lobbyregister,2022-05-17,Anhaltinische Geflügelspezialitäten GmbH,Anhaltinische Geflügelspezialitäten GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001109,
82,orig_lobbyregister_2022-02-25_#0014268,lobbyregister_client,lobbyregister,2022-02-25,Anheuser-Busch InBev Germany Holding GmbH,Anheuser-Busch InBev Germany Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001110,
83,orig_lobbyregister_2022-03-21_#0014269,lobbyregister_client,lobbyregister,2022-03-21,Antarctic and Southern Ocean Coalition,Antarctic and Southern Ocean Coalition,norm_lobbyregister_eintrag_2022-09-19_#0001134,
84,orig_lobbyregister_2022-04-13_#0014270,lobbyregister_client,lobbyregister,2022-04-13,a partnership hosted at the World Bank,a partnership hosted at the World Bank,norm_lobbyregister_eintrag_2022-09-19_#0001175,
85,orig_lobbyregister_2022-08-03_#0014271,lobbyregister_client,lobbyregister,2022-08-03,APERAM,APERAM,norm_lobbyregister_eintrag_2022-09-19_#0001183,
86,orig_lobbyregister_2022-06-15_#0014272,lobbyregister_client,lobbyregister,2022-06-15,apetito AG,apetito AG,norm_lobbyregister_eintrag_2022-09-19_#0001184,
