graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-09-14,5G Automotive Association,5G Automotive Association,norm_lobbyregister_eintrag_2022-09-19_#0000149,
"""""",lobbyregister_membership,lobbyregister,2022-02-28,5G Automotive Association (5GAA) e.V.,5G Automotive Association (5GAA) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000150,
"""""",lobbyregister_membership,lobbyregister,2022-03-11,60528 Frankfurt am Main,60528 Frankfurt am Main,norm_lobbyregister_eintrag_2022-09-19_#0000153,
"""""",lobbyregister_membership,lobbyregister,2022-05-31,66115 Saarbrücken,66115 Saarbrücken,norm_lobbyregister_eintrag_2022-09-19_#0000154,
"""""",lobbyregister_membership,lobbyregister,2022-05-31,66119 Saarbrücken,66119 Saarbrücken,norm_lobbyregister_eintrag_2022-09-19_#0000155,
"""""",lobbyregister_membership,lobbyregister,2022-05-31,66606 St. Wendel,66606 St. Wendel,norm_lobbyregister_eintrag_2022-09-19_#0000156,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,76344 Eggenstein-Leopoldshafen,76344 Eggenstein-Leopoldshafen,norm_lobbyregister_eintrag_2022-09-19_#0000159,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,79100 Freiburg,79100 Freiburg,norm_lobbyregister_eintrag_2022-09-19_#0000160,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,79117 Freiburg,79117 Freiburg,norm_lobbyregister_eintrag_2022-09-19_#0000161,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,79540 Lörrach,79540 Lörrach,norm_lobbyregister_eintrag_2022-09-19_#0000162,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,79618 Rheinfelden,79618 Rheinfelden,norm_lobbyregister_eintrag_2022-09-19_#0000163,
"""""",lobbyregister_membership,lobbyregister,2022-03-07,8KU GmbH,8KU GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000167,
"""""",lobbyregister_membership,lobbyregister,2022-06-07,A.I.S.E. - Association Internationale de la Savonnerie,A.I.S.E. - Association Internationale de la Savonnerie,norm_lobbyregister_eintrag_2022-09-19_#0000171,
"""""",lobbyregister_membership,lobbyregister,2022-07-25,A3TS,A3TS,norm_lobbyregister_eintrag_2022-09-19_#0000175,
"""""",lobbyregister_membership,lobbyregister,2022-06-21,Aachen,Aachen,norm_lobbyregister_eintrag_2022-09-19_#0000177,
"""""",lobbyregister_membership,lobbyregister,2022-03-02,AAMC,AAMC,norm_lobbyregister_eintrag_2022-09-19_#0000179,
