graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001456,2022-02-25,,British Chamber of Commerce in Germany e.V.,British Chamber of Commerce in Germany e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/20,12/20,1,10,,,533,2022-02-01,"Internationaler Wirtschaftsrat e.V.,ICC Germany e. V. Internationale Handelskammer",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001455,2022-02-25,,stela Laxhuber GmbH,stela Laxhuber GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,10001,20000,01/21,12/21,1,10,,,,,"Senat der Wirtschaft Deutschland e. V.,Deutscher Energieholz- und Pellet-Verband e. V.,DLG e. V.,Forum Nachhaltige Holzenergie e. V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001454,2022-02-25,,Forum Luft- und Raumfahrt Baden-Württemberg e.V.,Forum Luft- und Raumfahrt Baden-Württemberg e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/20,12/20,0,0,,,84,2022-02-16,"UBW - Unternehmer Baden-Württemberg e.V.,Swiss Aerospace Cluster (SAC),AREA BW e.V.,NEREUS AISBL",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001453,2022-02-25,,Deutscher Verband der Spielwarenindustrie e.V.,Deutscher Verband der Spielwarenindustrie e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,70001,80000,01/21,12/21,1,10,,,210,2022-01-01,"Media Smart e.V.,Zentralverband der deutschen Werbewirtschaft ZAW e.V.,Wettbewerbszentrale,Deutsche Gesellschaft für Verbandsmanagement e.V. (DGVM)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001452,2022-02-25,,Monroe Atlantic GmbH,Monroe Atlantic GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",,,,,1,10,,,,,"American Chamber of Commerce in Germany e.V.,Deutsche Gesellschaft für Wehrtechnik e. V.,Forum Luft- und Raumfahrt e.V.,Förderkreis Deutsches Heer e. V.",,"Vimac Consultancy B.V.,Defenture B.V.",
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-24,R001451,2022-02-24,,Verkehrsclub Deutschland e.V. Kreisverband Esslingen,Verkehrsclub Deutschland e.V. Kreisverband Esslingen,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,1,10,,,645,2022-01-01,VCD e.V. Bundesverband,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-11,R001450,2022-02-24,,TikTok Germany GmbH,TikTok Germany GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,330001,340000,01/21,12/21,1,10,"Tim Klaws,Friedrich Enders",,,,"Bitkom e.V.,Freiwillige Selbstkontrolle Multimedia-Diensteanbieter e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-24,R001449,2022-02-24,,Verband der Gartenbauvereine in Deutschland e.V. (VGiD),Verband der Gartenbauvereine in Deutschland e.V. (VGiD),,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,0,0,,,220000,2022-01-01,Deutsche Gartenbau-Gesellschaft 1822 e.V. (DGG),,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-24,R001448,2022-02-24,,Industrieverband Hartschaum e.V.,Industrieverband Hartschaum e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,10001,20000,01/20,12/20,1,10,,,9,2022-01-01,"Bundesverband energieeffiziente Gebäudehülle e.V. (BuVEG),Verband für Dämmsysteme, Putz und Mörtel e.V.,Gebäudeenergieberater Ingenieure Handwerker Bundesverband e.V.,Forschungsinstitut für Wärmeschutz e.V. München,Verein zur Förderung der Normung im Bereich Bauwesen e.V.,Gesellschaft für Rationelle Energieverwendung e.V.,European Manufacturers of Expanded Polystyrene (EUMEPS),arbeitskreis baufachpresse e.V.,Airport Club Frankfurt",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R001447,2022-02-24,,Deutsch-Burkinische Freundschaftsgesellschaft e.V.,Deutsch-Burkinische Freundschaftsgesellschaft e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1,10000,01/21,12/21,0,0,,,200,2021-12-31,,,,
