graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003520,2022-03-16,,freier zusammenschluss von studenten*innenschaften (fzs) e.V.,freier zusammenschluss von studenten*innenschaften (fzs) e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,10/20,09/21,1,10,,,90,2021-12-31,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003519,2022-03-16,,Katja Suding,Katja Suding,,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",,,,,0,0,,,,,,,Rud Pedersen Public Affairs,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003518,2022-03-16,,BDS NRW e.V. / Bund der Selbständigen Landesverband NRW e.V.,BDS NRW e.V. / Bund der Selbständigen Landesverband NRW e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,0,0,01/21,12/21,1,10,,,2959,2022-03-10,"Verein Deutsche Sprache,Deutsch-Ungarische Gesellschaft",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003517,2022-03-16,,BVMU Bundesvereinigung mittelständischer Unternehmer e.V.,BVMU Bundesvereinigung mittelständischer Unternehmer e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,0,0,01/21,12/21,1,10,,,5847,2022-03-10,"Verein Deutsche Sprache,Deutsch-Ungarische Gesellschaft",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003516,2022-03-16,,Senat der Wirtschaft Deutschland e.V.,Senat der Wirtschaft Deutschland e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",200001,210000,01/20,12/20,11,20,"Marc Härthe,Ursula Brilz,Michaela Groß,Martina Gschell,Uly Köhler",,791,2022-01-02,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003515,2022-03-16,,Stiftung Senat der Wirtschaft,Stiftung Senat der Wirtschaft,,Rechtsfähige Stiftung bürgerlichen Rechts,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20001,30000,01/20,12/20,1,10,"Svenja Reimer,Lenno Götze",,292,2022-02-24,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-29,R003514,2022-03-16,,Bundesverband Güterkraftverkehr Logistik und Entsorgung (BGL) e.V.,Bundesverband Güterkraftverkehr Logistik und Entsorgung (BGL) e.V.,,Eingetragener Verein (e. V.),Arbeitgeberverband,340001,350000,01/20,12/20,11,20,"Werner Andres,Guido Belger,Hans-Christian Daners,Antje Janßen,Ursula Nies,Stefan Sens,Roger Schwarz,Miriam Schwarze,Nina Zimmermann,Sabine Ziermann,Daniel Torres",,17,2021-09-09,"Pro Mobilität e.V.,Wirtschaftsrat der CDU e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003513,2022-03-16,,Northland Power Europe GmbH,Northland Power Europe GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,80001,90000,01/21,12/21,1,10,Bénédicte Bergeaud,,,,Stiftung OFFSHORE-WINDENERGIE,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-07-15,R003512,2022-03-16,,Deutsches Verpackungsinstitut e. V.,Deutsches Verpackungsinstitut e. V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,"Kim Cheng,Winfried Batzke",,215,2021-12-31,"EUROPEN,World Packaging Organisation",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003511,2022-03-16,,BerufsVerband Oecotrophologie (VDOE),BerufsVerband Oecotrophologie (VDOE),,Eingetragener Verein (e. V.),Berufsverband,20001,30000,01/20,12/20,1,10,"Andrea Lambeck,Urte Brink,Lisa-Marie Hofmann",,4111,2022-01-01,"Bundesvereinigung Prävention und Gesundheitsförderung e. V. (bvpg),Deutsche Gesellschaft für Ernährung e. V. (DGE),Förderkreis Agrarwissenschaften, Ökotrophologie und Umweltmanagement Gießen e. V.,International Federation for Home Economics (IFHE) e. V.,Kompetenznetz Patientenschulung e. V. (KomPas),Die Verbraucherinitiative e. V. (Bundesverband),5 am Tag e. V.,Plattform Ernährung und Bewegung e. V. (peb)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-27,R003510,2022-03-16,,Deutscher Olympischer Sportbund (DOSB),Deutscher Olympischer Sportbund (DOSB),,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",360001,370000,01/21,12/21,51,60,"Christian Sachs,Stefan Lachenmayr,Lukas Wiese",,126,2022-01-01,"Deutsche Olympische Gesellschaft e.V.,Gegen Vergessen - Für Demokratie e.V.,IAKS Deutschland e.V.,Bundesvereinigung Prävention und Gesundheitsförderung e.V.,Bundesnetzwerk Bürgerschaftliches Engagement,Bündnis für Gemeinnützigkeit,VSA - Vereinigung Sportsponsoring-Anbieter e.V.,International Council of Sport Science and Physical Education e.V.,IAT/FES e.V.,Deutsche Vereinigung für Sportrecht e.V.,Arbeitsgemeinschaft Deutscher Sportämter - ADS,Deutscher Frauenrat - Lobby der Frauen in Deutschland e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003509,2022-03-16,,Lothar Riebsamen,Lothar Riebsamen,,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",1,10000,11/21,12/21,1,10,,,,,,,Fa. Contec GmbH,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003508,2022-03-16,,Diagnose-Funk e.V.,Diagnose-Funk e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/20,12/20,1,10,,,1100,2022-02-18,"Allianz ""Rechtssicherheit für politische Willensbildung"" e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-30,R003507,2022-03-16,,Deutsche Vereinigung für Rehabilitation e.V. (DVfR),Deutsche Vereinigung für Rehabilitation e.V. (DVfR),,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/21,12/21,1,10,Sylvia Kurth,,287,2021-12-31,"Rehabilitation International,Deutscher Verein für öffentliche und private Fürsorge e. V,Aktionsbündnis Teilhabeforschung,Förderverein NRZ Bonn",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003506,2022-03-16,,Institute for Strategic Dialogue gGmbH,Institute for Strategic Dialogue gGmbH,,Gesellschaft mit beschränkter Haftung (GmbH),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/20,12/20,1,10,"Till Baaken,Christian Schwieter,Helena Schwertheim,Mauritius Dorn,Sara Bundzen",,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-07-27,R003505,2022-03-16,2022-07-27,HelpAge Deutschland e.V.,HelpAge Deutschland e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",60001,70000,01/21,12/21,1,10,Jürgen Focke,,41,2022-02-18,Venro e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003504,2022-03-16,,HanseGas GmbH,HanseGas GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1,10000,01/20,12/20,0,0,,,,,"BDEW,DVGW,Arbeitgebervereinigung energiewirt. Unternehmen",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003503,2022-03-16,,Nautischer Verein zu Emden e.V.,Nautischer Verein zu Emden e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,0,0,,,627,2022-01-01,"Deutscher Nautischer Verein von 1868 e.V.,Emden Hafenförderungsgesellschaft e.V.,Klub zum guten Endzweck, Emden",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003502,2022-03-16,,Duisburg Business & Innovation,Duisburg Business & Innovation,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0,0,01/20,12/20,1,10,,,,,ZIA Zentraler Immobilien Ausschuss e.V.,,Hy.Region.Rhein.Ruhr,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003501,2022-03-16,,Ubisoft GmbH,Ubisoft GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,40001,50000,01/21,12/21,1,10,,,,,"game - Verband der deutschen Games-Branche e.V.,USK / Freiwillige Selbstkontrolle Unterhaltungssoftware GmbH",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003500,2022-03-16,,"BUKO Pharma-Kampagne, Gesundheit - global und gerecht e.V.","BUKO Pharma-Kampagne, Gesundheit - global und gerecht e.V.",,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",10001,20000,01/20,12/20,1,10,"Max Klein,Corinna Krämer",,300,2022-02-28,"Aktionsbündnis gegen AIDS, AgA,Deutsche Plattform Globale Gesundheit, dpgg,Arbeitskreis für med. Entwicklungszusammenarbeit, AKME,Health Action International, HAI,Memento Bündnis,International Society of Drug Bulletins, ISDB,Eine Welt Netz NRW",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-30,R003499,2022-03-16,,Freie Förster- Bundesverband der Freiberuflichen Forstsachverständigen e.V. (BvFF),Freie Förster- Bundesverband der Freiberuflichen Forstsachverständigen e.V. (BvFF),,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/20,12/20,1,10,Moritz- Christian Foet,,125,2022-02-20,Bundesverband öffentlich bestellter und vereidigter Sachverständiger e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003498,2022-03-16,,Nowega GmbH,Nowega GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,50001,60000,01/21,12/21,1,10,,,,,"BDEW Bundesverband der Energie- und Wasserwirtschaft e. V.,Deutscher Wasserstoff- und Brennstoffzellen-Verband e. V.,DVGW Deutscher Verein des Gas- und Wasserfaches e. V.,BVEG Bundesverband Erdgas, Erdöl und Geoenergie e.V.,Vereinigung der Fernleitungsnetzbetreiber Gas e. V. (FNB Gas)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003497,2022-03-16,,Unternehmerverband Sachsen e.V.,Unternehmerverband Sachsen e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,1,10,Lars Schaller,,600,2022-03-09,"Creditreform Leipzig,Gesellschaft von Freunden und Förderern der TU Dresden e.V.,Förderverein HTWK Leipzig e.V.,Gesellschaft der Freunde der TU Chemnitz e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003496,2022-03-16,,ARGE Netz GmbH & Co. KG,ARGE Netz GmbH & Co. KG,,Sonstige Personengesellschaft,Unternehmen,340001,350000,01/20,12/20,1,10,"Björn Spiegel,Jasmin Schwarz,Lukas Schmidt,Klaus Kramer",,,,"Bundesverband Erneuerbare Energie e.V. (BEE),BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.,Bundesverband WindEnergie e.V. (BWE),Bundesverband Energiespeicher Systeme e. V.,Wirtschaftsrat der CDU e.V.,EUFORES AISBL,Landesverband Erneuerbare Energien Schleswig-Holstein e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003495,2022-03-16,,Deutsche Vereinigung für Jugendgerichte und Jugendgerichtshilfen e.V.,Deutsche Vereinigung für Jugendgerichte und Jugendgerichtshilfen e.V.,,Eingetragener Verein (e. V.),Berufsverband,,,,,1,10,Stephanie Ernst,,1349,2021-01-01,International Association of Youth and Family Judges and Magistrates (IAYFJM),,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003494,2022-03-16,,Deutsch-Emiratische Industrie- und Handelskammer (AHK),Deutsch-Emiratische Industrie- und Handelskammer (AHK),,"Sonstige juristische Person, auch nach anderem als deutschem Recht",Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/20,12/20,1,10,,,465,2022-03-09,"Dubai Chamber,Abu Dhabi Chamber",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-16,R003493,2022-03-16,,Axel Kunze,Axel Kunze,,,Privatperson,0,0,01/21,12/21,1,10,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-04-04,R003492,2022-03-16,,Deutsche Physikalische Gesellschaft e.V.,Deutsche Physikalische Gesellschaft e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",30001,40000,01/20,12/20,1,10,Andreas Böttcher,,53000,2022-01-01,"Gesellschaft für Fachdidaktik e.V. (GFD),Forschungsgesellschaft Kunststoffe e. V. (FGK),MINT EC - Das nationale Excellence-Schulnetzwerk,Physikalischer Verein,Gesellschaft der Freunde und Förderer des Deutschen Röntgen-Museums in Remscheid-Lennep e.V.,Deutsches Museum,Bundesvereinigung Materialwissenschaft und Werkstofftechnik (BV MatWerk),Akkreditierungsagentur für Studiengänge der Ingenieurwissenschaften, der Informatik, der Naturwissenschaften und der Mathematik e. V. (ASIIN),VdA - Verband deutscher Archivarinnen und Archivare e.V.,International Association of Physics Students (IAPS),European Physical Society (EPS)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003491,2022-03-15,,Verband der Soldaten der Bundeswehr e.V.,Verband der Soldaten der Bundeswehr e.V.,,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/21,12/21,1,10,,,2500,2021-12-31,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-27,R003490,2022-03-15,2022-06-27,Hauptverband der landwirtschaftlichen Buchstellen und Sachverständigen e. V.,Hauptverband der landwirtschaftlichen Buchstellen und Sachverständigen e. V.,,Eingetragener Verein (e. V.),Berufsverband,30001,40000,01/21,12/21,1,10,"Steffen Wiegand,Peter Meinhardt,Annette Weißenborn",,1954,2021-12-31,"AG Landwirtschaftliche Woche Nordhessen,Arge Klimatagung,Deutscher Bauernverband e. V.,Bundesverband öffentlich bestellter und vereidigter sowie qualifizierter Sachverständiger e. V.,Deutscher Finanzgerichtstag e.V.,Deutsche Gesellschaft für Agrarrecht e. V.,Deutsche Landwirtschaftsgesellschaft e. V.,Deutsches wissenschaftliches Steuerinstitut e. V.,European Federation of Agricultural Consultancy, Brüssel, Belgien,Familienbetriebe Land und Forst e. V.,Institut für Sachverständigenwesen e. V.,Zentralverband Gartenbau e. V.,Umsatzsteuer Forum e. V.,Bundesverband der Freien Berufe e. V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003489,2022-03-15,,Hartwig Bohne,Hartwig Bohne,,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",1,10000,01/21,12/21,1,10,,,,,,,"VZA,BVVA",
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003488,2022-03-15,,Die HimmelsSchreiber GmbH,Die HimmelsSchreiber GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",50001,60000,01/21,12/21,1,10,"Klaus-Peter Schmidt-Deguelle,Michael Fuchs,Sabine Seeger-Regling",,,,,,KiK Textilien und Non-Food GmbH,
"""""",lobbyregister_lobbyist,lobbyregister,2022-07-07,R003487,2022-03-15,,Ohne Rüstung Leben,Ohne Rüstung Leben,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",50001,60000,01/21,12/21,1,10,"Charlotte Kehne,Simon Bödecker,Kerstin Deibert",,9,2022-03-01,"Aktionsgemeinschaft Dienst für den Frieden (AGDF),Dachverband der Kritischen Aktionärinnen und Aktionäre e.V.,DEAB - Dachverband Entwicklungspolitik Baden-Württemberg e.V.,Forum Ziviler Friedensdienst e.V.,Koordinierungskreis der Initiative ""Sicherheit neu denken"",Netzwerk Friedenskooperative,Plattform Zivile Konfliktbearbeitung,Trägerkreis ""Atomwaffen abschaffen"",Trägerkreis der Kampagne „Aktion Aufschrei - Stoppt den Waffenhandel!“,Trägerkreis der Kampagne ""unter18nie!""",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003486,2022-03-15,,Deutscher Konditorenbund,Deutscher Konditorenbund,,Andere Rechtsform nach deutschem Recht,Berufsverband,1,10000,01/20,12/20,1,10,,,13,2022-01-01,"Zentralverband des Deutschen Handwerks,Lebensmittelverband,International Union of Bakers and Confectioners,Deutsches Handwerksinstitut,Arbeitsgemeinschaft Getreideforschung e.V.,WorldSkills,Arbeitsgemeinschaft Lebensmittelhandwerk des ZDH",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-29,R003485,2022-03-15,,Initiative pro Leber,Initiative pro Leber,,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit",,0,0,01/21,12/21,0,0,,,3,2022-02-14,"Deutsche Leberstiftung, Prof. Dr. Michael P. Manns, Stellvertreterin Bianka Wiebner,Deutsche Leberhilfe e.V., Wilhelm Grans, Stellvertreter Ingo van Thiel,Gilead Sciences GmbH, Martin Flörkemeier, Stellvertreter Duc-Hien Huynh",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003484,2022-03-15,,Bundesverband Dentalhandel e. V.,Bundesverband Dentalhandel e. V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,,,81,2022-03-03,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003483,2022-03-15,,Deutscher Kartoffelhandelsverband e.V. (DKHV),Deutscher Kartoffelhandelsverband e.V. (DKHV),,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",40001,50000,01/20,12/20,1,10,,,173,2022-02-24,"European Potato Trade Association (Europatat),Zentrale zur Bekämpfung unlauteren Wettbewerbs Frankfurt am Main e. V.,Union der Deutschen Kartoffelwirtschaft (UNIKA) e. V.,Förderungsgemeinschaft der Kartoffelwirtschaft e. V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-30,R003482,2022-03-15,,Lhoist Germany Rheinkalk GmbH,Lhoist Germany Rheinkalk GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,130001,140000,01/21,12/21,1,10,"Mario Burda,Thomas Nowak",,,,"Bundesverband der Deutschen Kalkindustrie e.V.,Bundesverband Kalksandsteinindustrie e.V.,Deutsche Vereinigung für Wasserwirtschaft, Abwasser und Abfall e.V.,Deutscher Verband Tiernahrung e.V.,figawa - Bundesvereinigung der Firmen im Gas- und Wasserfach e.V.,Industrieverband Steine und Erden Baden-Württemberg e.V.,Verband der Baubranche Umwelt- und Maschinentechnik e.V.,Verband für Dämmsysteme, Putz und Mörtel e.V.,Vero Verband der Bau- und Rohstoffindustrie e.V.,Wirtschaftsrat der CDU e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003481,2022-03-15,,Johann Frahm,Johann Frahm,,,Privatperson,0,0,01/21,12/21,0,0,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-21,R003480,2022-03-15,,Förderkreis Umweltschutz Unterfranken e.V..,Förderkreis Umweltschutz Unterfranken e.V..,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,0,0,,,42,2022-02-04,"B.A.U.M. Bundesdeutscher Arbeitskreis für umweltbewusstes Management,future e.V.,Modell Hohenlohe e.V.,AGEEN e.V.,Klimaschutzbeirat Stadt Würzburg,Initiative Energieeffizienznetzwerke auf Bundesebene (DENA) und in Bayern (BEEN-i),Klima-Allianz Würzburg",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003479,2022-03-15,,Deutsche Gesellschaft für Cybersicherheit mbH & Co. KG,Deutsche Gesellschaft für Cybersicherheit mbH & Co. KG,,Kommanditgesellschaft (KG),Unternehmen,0,0,01/20,12/20,51,60,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003478,2022-03-15,,Statkraft Markets GmbH,Statkraft Markets GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,240001,250000,01/21,12/21,1,10,"Claudia Gellert,Matthias Holzenkamp",,,,"EFET Deutschland e.V. (Verband Deutscher Energiehändler e.V.),BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.,BSW Bundesverband Solarwirtschaft e.V.,BWE Bundesverband WindEnergie e.V.,BAV Bundesverband der Altholzaufbereiter und -verwerter e.V.,Landesverband Erneuerbare Energien NRW e.V.,Landesverband Erneuerbare Energien Niedersachsen/Bremen e.V.,Forum für Zukunftsenergien e.V.,Energiedialog 2050 e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003477,2022-03-15,,Currenta GmbH & Co. OHG,Currenta GmbH & Co. OHG,,Offene Handelsgesellschaft (OHG),Unternehmen,530001,540000,01/21,12/21,11,20,"Daniel Neugebauer,Jobst Wierich,Alexa Velten,Ulrich Bornewasser,Hans-Jörg Preisigke,Christoph Bier,Albert Pauls,Lars Friedrich,Mario Bernards,Martin Voigt,Christian Wolff,Frank Schmitz",,,,"Bundesverband der Bilanzbuchhalter und Controller e.V. (BVBC),Bundesverband Deutscher Sonderabfallverbrennungsanlagen e.V. (BDSAV),Bundesverband Energiespeicher e.V. (BVES),ChemCologne e.V.,Deutsche Vereinigung für Wasserwirtschaft, Abwasser und Abfall e.V. (DWA),Deutscher Verein des Gas- und Wasserfaches e.V. (DVGW),Forum für Zukunftsenergien e.V.,Grüner Wirtschaftsdialog e. V.,Interessengemeinschaft Deutsche Deponiebetreiber e.V. (InwesD),Klima.Diskurs NRW,Verband der Chemischen Industrie e.V. (VCI),Verband der Industriellen Energie- und Kraftwirtschaft e.V. (VIK),Verband Deutscher Energiehändler e.V. (EFET Deutschland),Verein der Kohlenimporteure e.V. (VDKi),Wirtschaftsforum der SPD e.V.,Wirtschaftsrat CDU e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-04-06,R003476,2022-03-15,,Fujitsu Technology Solutions,Fujitsu Technology Solutions,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,290001,300000,04/20,03/21,1,10,"Nadine Besold,Gerd Jooss,Joseph Reger,Isabel Netzband,Juan Perea Rodriguez",,,,"bitkom,Initiative D21,Münchner Kreis,Zukunftsforum Öffentliche Sicherheit,Nationale E-Government Kompetenzzentrum,Gaia-X,Bündnis für Bildung,AWV - Arbeitsgemeinschaft für wirtschaftliche Verwaltung,Global Digital Women",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003475,2022-03-15,,Initiativkreis der Europäischen Metropolregionen in Deutschland,Initiativkreis der Europäischen Metropolregionen in Deutschland,,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",10001,20000,01/21,12/21,0,0,,,11,2022-02-23,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003474,2022-03-15,,Thorn,Thorn,,Sonstige Personengesellschaft,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",320001,330000,01/21,12/21,1,10,"Cathal Delaney,Kristin Boorse",,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003473,2022-03-15,,BDKJ-Diözesanverband Regensburg,BDKJ-Diözesanverband Regensburg,,Nicht rechtsfähiger Verein,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1,10000,01/21,12/21,0,0,,,9,2022-01-30,"Jugendringstrukturen der Bezirke Niederbayern und Oberpfalz,Trägergemeinschaft der Jugendbildungsstätte Windberg,Diözesankomitee der Katholiken im Bistum Regensburg",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-05-19,R003472,2022-03-15,,Ocean. Now! e.V.,Ocean. Now! e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",10001,20000,01/20,12/20,0,0,,,10,2022-03-07,"Break Free From Plastic,Rise up,One Ocean",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003471,2022-03-15,,LOGO Deutschland e.V.  Selbstständige in der Logopädie,LOGO Deutschland e.V. Selbstständige in der Logopädie,,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/21,12/21,1,10,,,1298,2022-02-14,"Bundesverband Freie Berufe (BFB), Berlin,Landesverband Freie Berufe Baden-Württemberg, Stuttgart,Institut für Freie Berufe, Nürnberg",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003470,2022-03-15,,VF Verpackungen GmbH,VF Verpackungen GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1,10000,01/21,12/21,0,0,,,,,IK Industrievereinigung Kunststoffverpackungen e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003469,2022-03-15,,Stiftung World Future Council,Stiftung World Future Council,,Rechtsfähige Stiftung bürgerlichen Rechts,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1110001,1120000,01/20,12/20,1,10,"Ralf Sonntag,Anna Skowron,Naemie Dubbels",,,,"Climate Action Network International,Foundations Platform F20",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003468,2022-03-15,,Verband der Osteopathen Deutschland e.V.,Verband der Osteopathen Deutschland e.V.,,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/20,12/20,1,10,,,5500,2021-12-31,"Osteopathic International Alliance (OIA),European Federation and Forum for Osteopathy (EFFO)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-03-15,R003467,2022-03-15,,Gebr. Eickhoff Maschinenfabrik u. Eisengießerei GmbH,Gebr. Eickhoff Maschinenfabrik u. Eisengießerei GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,80001,90000,01/21,12/21,0,0,,,,,"VDMA,Wirtschaftsrat der CDU e.V.,Wirtschaftsforum der SPD e.V.,Bundesverband der Deutschen Gießerei-Industrie e. V.,Bundesverband Windenergie,Arbeitgeberverband Metall,IHK Mittleres Ruhrgebiet",,,
