graph_id,aufb_bezeichnung,aufb_quelle,aufb_datum
"""""",4.OPMC e.V.-Open Production & Maintenance Community,lobbyregister_eintrag,2022-09-19
"""""",4) Bundesministerium für Bildung und Forschung,lobbyregister_eintrag,2022-09-19
"""""","4) Juristische Person, Frankfurt am Main",lobbyregister_eintrag,2022-09-19
"""""",4+4 Arbeitsgruppe,lobbyregister_eintrag,2022-09-19
"""""","40) Sächsisches Staatsministerium für Wirtschaft, Arbeit und Verkehr",lobbyregister_eintrag,2022-09-19
"""""",4002 Basel,lobbyregister_eintrag,2022-09-19
"""""",4010 Basel,lobbyregister_eintrag,2022-09-19
"""""",41) Deutsche Bundesstiftung Umwelt,lobbyregister_eintrag,2022-09-19
"""""",42) Kommunaler Sozialverband Sachsen,lobbyregister_eintrag,2022-09-19
"""""",43) Landschaftsverband Rheinland,lobbyregister_eintrag,2022-09-19
"""""",44) Ministerium für Bildung des Landes Sachsen-Anhalt,lobbyregister_eintrag,2022-09-19
"""""",45) Ministerium für Bildung des Landes Sachsen-Anhalt,lobbyregister_eintrag,2022-09-19
"""""",46) Ministerium für Bildung des Landes Sachsen-Anhalt,lobbyregister_eintrag,2022-09-19
"""""",47) Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,lobbyregister_eintrag,2022-09-19
"""""",48) Ministerium für Schule und Bildung des Landes Nordrhein-Westfalen,lobbyregister_eintrag,2022-09-19
"""""","49) Ministerium für Kultus, Jugend und Sport Baden-Württemberg",lobbyregister_eintrag,2022-09-19
"""""",4C Group AG,a_watch_organisation,2022-09-19
"""""",4QD-Qualitätskliniken.de GmbH,lobbyregister_eintrag,2022-09-19
"""""",5) Bundesministerium für Bildung und Forschung,lobbyregister_eintrag,2022-09-19
"""""","5) Juristische Person, Aichtal",lobbyregister_eintrag,2022-09-19
"""""",50667 Köln,lobbyregister_eintrag,2022-09-19
"""""",50825 Köln,lobbyregister_eintrag,2022-09-19
"""""",50HertzTransmission GmbH,lobbyregister_eintrag,2022-09-19
"""""",50Hertz Transmission GmbH,lobbyregister_eintrag,2022-09-19
"""""",53113 Bonn,lobbyregister_eintrag,2022-09-19
"""""",59931 Köln,lobbyregister_eintrag,2022-09-19
"""""",5 am Tag e.V.,lobbyregister_eintrag,2022-09-19
"""""",5 am Tag e. V.,lobbyregister_eintrag,2022-09-19
"""""",5GAA,lobbyregister_eintrag,2022-09-19
"""""",5GAA - 5G Automotive Association e.V.,lobbyregister_eintrag,2022-09-19
"""""",5G Alliance for Connected Industries and Automation,lobbyregister_eintrag,2022-09-19
"""""",5G Alliance for Connected Industries and Automation (5G-ACIA) https://5g-acia.org/,lobbyregister_eintrag,2022-09-19
"""""",5G Automotive Association,lobbyregister_eintrag,2022-09-19
"""""",5G Automotive Association (5GAA) e.V.,lobbyregister_eintrag,2022-09-19
"""""",6) Bundesamt für Migration und Flüchtlinge,lobbyregister_eintrag,2022-09-19
"""""","6) Juristische Person, Köln",lobbyregister_eintrag,2022-09-19
"""""",60528 Frankfurt am Main,lobbyregister_eintrag,2022-09-19
"""""",66115 Saarbrücken,lobbyregister_eintrag,2022-09-19
"""""",66119 Saarbrücken,lobbyregister_eintrag,2022-09-19
"""""",66606 St. Wendel,lobbyregister_eintrag,2022-09-19
"""""",7) Bundesamt für Migration und Flüchtlinge,lobbyregister_eintrag,2022-09-19
"""""","7) Juristische Person, Stuttgart",lobbyregister_eintrag,2022-09-19
"""""",76344 Eggenstein-Leopoldshafen,lobbyregister_eintrag,2022-09-19
"""""",79100 Freiburg,lobbyregister_eintrag,2022-09-19
"""""",79117 Freiburg,lobbyregister_eintrag,2022-09-19
"""""",79540 Lörrach,lobbyregister_eintrag,2022-09-19
"""""",79618 Rheinfelden,lobbyregister_eintrag,2022-09-19
"""""",7Argumente,lobbyregister_eintrag,2022-09-19
"""""",8) Bundesamt für Familie und zivilgesellschaftliche Aufgaben,lobbyregister_eintrag,2022-09-19
"""""","8) Juristische Person, Hamburg",lobbyregister_eintrag,2022-09-19
"""""",8KU GmbH,lobbyregister_eintrag,2022-09-19
"""""",9) Bundesamt für Familie und zivilgesellschaftliche Aufgaben,lobbyregister_eintrag,2022-09-19
"""""","9) Juristische Person, Berlin",lobbyregister_eintrag,2022-09-19
"""""",96 Leibnizinstitute,lobbyregister_eintrag,2022-09-19
"""""",A.I.S.E. - Association Internationale de la Savonnerie,lobbyregister_eintrag,2022-09-19
"""""",A. Schilli & Co oHG,a_watch_organisation,2022-09-19
"""""",A.T.U Auto-Teile-Unger GmbH & Co. KG,lobbypedia_parteispenden,2022-09-19
"""""",A. Zovko GmbH & Co. KG,lobbypedia_parteispenden,2022-09-19
"""""",A3TS,lobbyregister_eintrag,2022-09-19
"""""",AA,lobbyregister_eintrag,2022-09-19
"""""",Aachen,lobbyregister_eintrag,2022-09-19
"""""",Aachener Verlagsgesellschaft mbH,lobbypedia_parteispenden,2022-09-19
"""""",AAMC,lobbyregister_eintrag,2022-09-19
"""""",Aareal Bank AG,lobbyregister_eintrag,2022-09-19
"""""",AAV Verband für Flächenrecycling und Altlastensanierung e.V.,lobbyregister_eintrag,2022-09-19
"""""",AB 1204 Verwaltungs GmbH,lobbypedia_parteispenden,2022-09-19
