graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
"""""",lobbyregister_client,lobbyregister,2022-09-16,AiF Arbeitsgemeinschaft industrieller Forschungsvereinigungen „Otto von Guericke“ e. V.,AiF Arbeitsgemeinschaft industrieller Forschungsvereinigungen „Otto von Guericke“ e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000574,
"""""",lobbyregister_client,lobbyregister,2022-08-09,AI Monet Lux,AI Monet Lux,norm_lobbyregister_eintrag_2022-09-19_#0000585,
"""""",lobbyregister_client,lobbyregister,2022-09-08,Airbnb Germany GmbH,Airbnb Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000588,
"""""",lobbyregister_client,lobbyregister,2022-09-08,AIR LIQUIDE Deutschland GmbH,AIR LIQUIDE Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000605,
"""""",lobbyregister_client,lobbyregister,2022-06-15,Air Products GmbH (HRB 15572),Air Products GmbH (HRB 15572),norm_lobbyregister_eintrag_2022-09-19_#0000609,
"""""",lobbyregister_client,lobbyregister,2022-02-22,akf servicelease GmbH,akf servicelease GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000631,
"""""",lobbyregister_client,lobbyregister,2022-03-16,Aktionsbündnis muslimischer Frauen in Deutschland e.V.,Aktionsbündnis muslimischer Frauen in Deutschland e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000719,
"""""",lobbyregister_client,lobbyregister,2022-09-13,Aktive Ejere,Aktive Ejere,norm_lobbyregister_eintrag_2022-09-19_#0000765,
"""""",lobbyregister_client,lobbyregister,2022-08-31,ALDI Einkauf SE & Co. oHG (ALDI Nord),ALDI Einkauf SE & Co. oHG (ALDI Nord),norm_lobbyregister_eintrag_2022-09-19_#0000796,
"""""",lobbyregister_client,lobbyregister,2022-03-03,Alexion Pharma Germany GmbH,Alexion Pharma Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000803,
"""""",lobbyregister_client,lobbyregister,2022-07-21,Alexion Pharma GmbH,Alexion Pharma GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000804,
"""""",lobbyregister_client,lobbyregister,2022-09-07,Alibaba (Germany) GmbH,Alibaba (Germany) GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000819,
"""""",lobbyregister_client,lobbyregister,2022-09-16,Align Technology Gesellschaft mit beschränkter Haftung,Align Technology Gesellschaft mit beschränkter Haftung,norm_lobbyregister_eintrag_2022-09-19_#0000823,
"""""",lobbyregister_client,lobbyregister,2022-09-07,Alipay (Europe) Limited SA,Alipay (Europe) Limited SA,norm_lobbyregister_eintrag_2022-09-19_#0000825,
"""""",lobbyregister_client,lobbyregister,2022-02-22,ALK-Abelló Arzneimittel GmbH,ALK-Abelló Arzneimittel GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000826,
"""""",lobbyregister_client,lobbyregister,2022-07-25,AllDent Holding GmbH,AllDent Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000827,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),Allgemeiner Deutscher Automobil-Club e.V. (ADAC),norm_a_watch_organisation_2022-09-19_#0000842,
"""""",lobbyregister_client,lobbyregister,2022-05-09,Alliance for Regenerative Medicine,Alliance for Regenerative Medicine,norm_lobbyregister_eintrag_2022-09-19_#0000856,
"""""",lobbyregister_client,lobbyregister,2022-03-18,Alliance of Democracies Foundation,Alliance of Democracies Foundation,norm_lobbyregister_eintrag_2022-09-19_#0000862,
"""""",lobbyregister_client,lobbyregister,2022-03-03,Allianz Agrar AG,Allianz Agrar AG,norm_lobbyregister_eintrag_2022-09-19_#0000867,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Allianz Beratungs- und Vertriebs-AG,Allianz Beratungs- und Vertriebs-AG,norm_lobbyregister_eintrag_2022-09-19_#0000870,
"""""",lobbyregister_client,lobbyregister,2022-09-02,Allianz fairer Tickethandel,Allianz fairer Tickethandel,norm_lobbyregister_eintrag_2022-09-19_#0000892,
"""""",lobbyregister_client,lobbyregister,2022-06-13,Allianz Kommunaler Großkrankenhäuser e. V.,Allianz Kommunaler Großkrankenhäuser e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000932,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Allianz Lebensversicherungs-AG,Allianz Lebensversicherungs-AG,norm_lobbyregister_eintrag_2022-09-19_#0000934,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Allianz Private Krankenversicherungs-AG,Allianz Private Krankenversicherungs-AG,norm_a_watch_organisation_2022-09-19_#0000935,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Allianz Versicherungs-AG,Allianz Versicherungs-AG,norm_lobbyregister_eintrag_2022-09-19_#0000954,
"""""",lobbyregister_client,lobbyregister,2022-03-01,Almirall Hermal GmbH,Almirall Hermal GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000964,
"""""",lobbyregister_client,lobbyregister,2022-08-18,ALP - Advanced Level Politics UG (haftungsbeschränkt),ALP - Advanced Level Politics UG (haftungsbeschränkt),norm_lobbyregister_eintrag_2022-09-19_#0000967,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Alpla Werke Lehner GmbH & Co KG,Alpla Werke Lehner GmbH & Co KG,norm_lobbyregister_eintrag_2022-09-19_#0000970,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Alternoil GmbH,Alternoil GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000986,
"""""",lobbyregister_client,lobbyregister,2022-04-08,ALTUS AG,ALTUS AG,norm_lobbyregister_eintrag_2022-09-19_#0000993,
"""""",lobbyregister_client,lobbyregister,2022-09-01,Alzchem Trostberg GmbH,Alzchem Trostberg GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001001,
"""""",lobbyregister_client,lobbyregister,2022-09-01,Amadeus IT Group,Amadeus IT Group,norm_lobbyregister_eintrag_2022-09-19_#0001004,
"""""",lobbyregister_client,lobbyregister,2022-06-20,Amarin Germany GmbH,Amarin Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001009,
"""""",lobbyregister_client,lobbyregister,2022-09-14,Amazon Deutschland Services GmbH,Amazon Deutschland Services GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001011,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Amazon Web Services EMEA SARL,Amazon Web Services EMEA SARL,norm_lobbyregister_eintrag_2022-09-19_#0001012,
"""""",lobbyregister_client,lobbyregister,2022-02-28,AmCham Germany e.V.,AmCham Germany e.V.,norm_lobbyregister_eintrag_2022-09-19_#0001027,
"""""",lobbyregister_client,lobbyregister,2022-04-25,AMD,AMD,norm_lobbyregister_eintrag_2022-09-19_#0001031,
"""""",lobbyregister_client,lobbyregister,2022-09-07,amedes Medizinische Dienstleistungen,amedes Medizinische Dienstleistungen,norm_lobbyregister_eintrag_2022-09-19_#0001032,
"""""",lobbyregister_client,lobbyregister,2022-08-04,American Express Europe S.A. (Germany branch),American Express Europe S.A. (Germany branch),norm_lobbyregister_eintrag_2022-09-19_#0001055,
"""""",lobbyregister_client,lobbyregister,2022-09-16,American Express Services Europe Limited (AESEL),American Express Services Europe Limited (AESEL),norm_lobbyregister_eintrag_2022-09-19_#0001057,
"""""",lobbyregister_client,lobbyregister,2022-03-17,Amprion,Amprion,norm_lobbyregister_eintrag_2022-09-19_#0001073,
"""""",lobbyregister_client,lobbyregister,2022-09-07,Amprion GmbH,Amprion GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001074,
"""""",lobbyregister_client,lobbyregister,2022-09-16,Amylyx Pharmaceuticals Germany,Amylyx Pharmaceuticals Germany,norm_lobbyregister_eintrag_2022-09-19_#0001082,
"""""",lobbyregister_client,lobbyregister,2022-05-17,Anhaltinische Geflügelspezialitäten GmbH,Anhaltinische Geflügelspezialitäten GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001109,
"""""",lobbyregister_client,lobbyregister,2022-02-25,Anheuser-Busch InBev Germany Holding GmbH,Anheuser-Busch InBev Germany Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001110,
"""""",lobbyregister_client,lobbyregister,2022-03-21,Antarctic and Southern Ocean Coalition,Antarctic and Southern Ocean Coalition,norm_lobbyregister_eintrag_2022-09-19_#0001134,
"""""",lobbyregister_client,lobbyregister,2022-04-13,a partnership hosted at the World Bank,a partnership hosted at the World Bank,norm_lobbyregister_eintrag_2022-09-19_#0001175,
"""""",lobbyregister_client,lobbyregister,2022-08-03,APERAM,APERAM,norm_lobbyregister_eintrag_2022-09-19_#0001183,
"""""",lobbyregister_client,lobbyregister,2022-06-15,apetito AG,apetito AG,norm_lobbyregister_eintrag_2022-09-19_#0001184,
"""""",lobbyregister_client,lobbyregister,2022-05-16,APK AG,APK AG,norm_lobbyregister_eintrag_2022-09-19_#0001189,
"""""",lobbyregister_client,lobbyregister,2022-07-01,Apple Inc.,Apple Inc.,norm_lobbyregister_eintrag_2022-09-19_#0001201,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Aprovis Energy Systems,Aprovis Energy Systems,norm_lobbyregister_eintrag_2022-09-19_#0001203,
"""""",lobbyregister_client,lobbyregister,2022-05-29,AquaVentus Förderverein e.V.,AquaVentus Förderverein e.V.,norm_lobbyregister_eintrag_2022-09-19_#0001219,
"""""",lobbyregister_client,lobbyregister,2022-06-15,ARAG SE,ARAG SE,norm_lobbyregister_eintrag_2022-09-19_#0001229,
"""""",lobbyregister_client,lobbyregister,2022-09-14,Arbeitgeber- und Wirtschaftsverband der Mobilitäts- und Verkehrsdienstleister e.V. (AGV MOVE),Arbeitgeber- und Wirtschaftsverband der Mobilitäts- und Verkehrsdienstleister e.V. (AGV MOVE),norm_lobbyregister_eintrag_2022-09-19_#0001247,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Arcadis Nederland B.V.,Arcadis Nederland B.V.,norm_lobbyregister_eintrag_2022-09-19_#0001575,
"""""",lobbyregister_client,lobbyregister,2022-06-02,ARCANUM Energy Systems GmbH & Co. KG,ARCANUM Energy Systems GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0001576,
"""""",lobbyregister_client,lobbyregister,2022-03-01,Ardagh Metal Beverage Holdings Germany,Ardagh Metal Beverage Holdings Germany,norm_lobbyregister_eintrag_2022-09-19_#0001587,
"""""",lobbyregister_client,lobbyregister,2022-02-23,Ardagh Metal Beverage Trading Germany GmbH,Ardagh Metal Beverage Trading Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001588,
"""""",lobbyregister_client,lobbyregister,2022-06-23,ARGE AGDW/FABLF,ARGE AGDW/FABLF,norm_lobbyregister_eintrag_2022-09-19_#0001599,
"""""",lobbyregister_client,lobbyregister,2022-06-29,Argo AI GmbH,Argo AI GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001615,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Arla Foods Deutschland GmbH,Arla Foods Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001619,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Arup Deutschland GmbH,Arup Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001641,
"""""",lobbyregister_client,lobbyregister,2022-04-25,Asetek,Asetek,norm_lobbyregister_eintrag_2022-09-19_#0001679,
"""""",lobbyregister_client,lobbyregister,2022-05-17,ASG - Anerkannte Schulgesellschaft mbH,ASG - Anerkannte Schulgesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0001681,
"""""",lobbyregister_client,lobbyregister,2022-04-05,Asklepios Kliniken,Asklepios Kliniken,norm_lobbyregister_eintrag_2022-09-19_#0001711,
"""""",lobbyregister_client,lobbyregister,2022-09-07,Asklepios Kliniken GmbH & Co. KGaA,Asklepios Kliniken GmbH & Co. KGaA,norm_lobbyregister_eintrag_2022-09-19_#0001713,
"""""",lobbyregister_client,lobbyregister,2022-08-31,ASL Agrarservice Lass GmbH,ASL Agrarservice Lass GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001751,
"""""",lobbyregister_client,lobbyregister,2022-09-13,Association des Amis du Fonds Mondial Europe,Association des Amis du Fonds Mondial Europe,norm_lobbyregister_eintrag_2022-09-19_#0001771,
"""""",lobbyregister_client,lobbyregister,2022-09-07,Association for Financial Markets in Europe,Association for Financial Markets in Europe,norm_lobbyregister_eintrag_2022-09-19_#0001777,
"""""",lobbyregister_client,lobbyregister,2022-06-20,AstraZeneca GmbH,AstraZeneca GmbH,norm_a_watch_organisation_2022-09-19_#0001805,
"""""",lobbyregister_client,lobbyregister,2022-08-15,ATOS,ATOS,norm_lobbyregister_eintrag_2022-09-19_#0001849,
"""""",lobbyregister_client,lobbyregister,2022-06-21,Atos Information Technology GmbH,Atos Information Technology GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001850,
"""""",lobbyregister_client,lobbyregister,2022-07-25,Atriva Therapeutics GmbH,Atriva Therapeutics GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001851,
"""""",lobbyregister_client,lobbyregister,2022-09-07,AUDI AG,AUDI AG,norm_lobbyregister_eintrag_2022-09-19_#0001863,
"""""",lobbyregister_client,lobbyregister,2022-04-14,AÜG Netzwerk Human Resources GmbH,AÜG Netzwerk Human Resources GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001872,
"""""",lobbyregister_client,lobbyregister,2022-02-28,Aurubis AG,Aurubis AG,norm_lobbyregister_eintrag_2022-09-19_#0001886,
"""""",lobbyregister_client,lobbyregister,2022-06-28,Autobahn Tank & Rast GmbH,Autobahn Tank & Rast GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001968,
"""""",lobbyregister_client,lobbyregister,2022-09-01,Autobahn Tank & Rast Gruppe GmbH & Co. KG,Autobahn Tank & Rast Gruppe GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0001969,
"""""",lobbyregister_client,lobbyregister,2022-08-15,AUTODESK GmbH,AUTODESK GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001970,
"""""",lobbyregister_client,lobbyregister,2022-04-26,automotiveland.nrw,automotiveland.nrw,norm_lobbyregister_eintrag_2022-09-19_#0001990,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Avacon Netz GmbH,Avacon Netz GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002000,
"""""",lobbyregister_client,lobbyregister,2022-07-07,Avacon Netz Gmbh,Avacon Netz Gmbh,norm_lobbyregister_eintrag_2022-09-19_#0002001,
"""""",lobbyregister_client,lobbyregister,2022-08-31,AVAT Automation GmbH,AVAT Automation GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002007,
"""""",lobbyregister_client,lobbyregister,2022-09-15,AviAlliance,AviAlliance,norm_lobbyregister_eintrag_2022-09-19_#0002014,
"""""",lobbyregister_client,lobbyregister,2022-08-25,Avi Medical Operations,Avi Medical Operations,norm_lobbyregister_eintrag_2022-09-19_#0002019,
"""""",lobbyregister_client,lobbyregister,2022-06-30,Avisa Partners,Avisa Partners,norm_lobbyregister_eintrag_2022-09-19_#0002020,
"""""",lobbyregister_client,lobbyregister,2022-09-16,Avis Budget Autovermietung GmbH & Co KG,Avis Budget Autovermietung GmbH & Co KG,norm_lobbyregister_eintrag_2022-09-19_#0002022,
"""""",lobbyregister_client,lobbyregister,2022-06-15,Axon Public Safety Germany SE,Axon Public Safety Germany SE,norm_lobbyregister_eintrag_2022-09-19_#0002090,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Axpo Deutschland GmbH,Axpo Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002091,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Axpo Holding AG,Axpo Holding AG,norm_lobbyregister_eintrag_2022-09-19_#0002092,
"""""",lobbyregister_client,lobbyregister,2022-03-03,B. Braun SE,B. Braun SE,norm_lobbyregister_eintrag_2022-09-19_#0002112,
"""""",lobbyregister_client,lobbyregister,2022-07-18,Baden-Württembergische Wertpapierbörse GmbH,Baden-Württembergische Wertpapierbörse GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002143,
"""""",lobbyregister_client,lobbyregister,2022-05-05,Bank of America Europe DAC,Bank of America Europe DAC,norm_lobbyregister_eintrag_2022-09-19_#0002248,
"""""",lobbyregister_client,lobbyregister,2022-08-16,Bauerfeind AG,Bauerfeind AG,norm_lobbypedia_parteispenden_2022-09-19_#0002286,
"""""",lobbyregister_client,lobbyregister,2022-08-31,Baur Folien GmbH,Baur Folien GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002344,
"""""",lobbyregister_client,lobbyregister,2022-07-28,BavariaDirekt Versicherung Aktiengesellschaft,BavariaDirekt Versicherung Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002359,
"""""",lobbyregister_client,lobbyregister,2022-09-15,Bayer AG,Bayer AG,norm_lobbyregister_eintrag_2022-09-19_#0002370,
"""""",lobbyregister_client,lobbyregister,2022-09-13,Bayer CropScience Deutschland GmbH,Bayer CropScience Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002371,
"""""",lobbyregister_client,lobbyregister,2022-07-28,Bayerische Beamtenkrankenkasse Aktiengesellschaft,Bayerische Beamtenkrankenkasse Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002375,
"""""",lobbyregister_client,lobbyregister,2022-07-28,Bayerische Landesbrandversicherung Aktiengesellschaft,Bayerische Landesbrandversicherung Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002384,
"""""",lobbyregister_client,lobbyregister,2022-07-20,Bayerische Motoren Werke Aktiengesellschaft,Bayerische Motoren Werke Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002386,
"""""",lobbyregister_client,lobbyregister,2022-07-28,Bayerischer Versicherungsverband Versicherungsaktiengesellschaft,Bayerischer Versicherungsverband Versicherungsaktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002426,
"""""",lobbyregister_client,lobbyregister,2022-09-13,BAYERNOIL Raffineriegesellschaft mbH,BAYERNOIL Raffineriegesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0002472,
"""""",lobbyregister_client,lobbyregister,2022-07-28,Bayern-Versicherung Lebensversicherung Aktiengesellschaft,Bayern-Versicherung Lebensversicherung Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002474,
"""""",lobbyregister_client,lobbyregister,2022-07-07,Bayernwerk Netz GmbH,Bayernwerk Netz GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002476,
"""""",lobbyregister_client,lobbyregister,2022-09-01,BayWa Aktiengesellschaft,BayWa Aktiengesellschaft,norm_lobbyregister_eintrag_2022-09-19_#0002497,
"""""",lobbyregister_client,lobbyregister,2022-06-02,BayWa r.e. Energy Ventures GmbH,BayWa r.e. Energy Ventures GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002499,
"""""",lobbyregister_client,lobbyregister,2022-04-26,B-Connect GmbH,B-Connect GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002544,
"""""",lobbyregister_client,lobbyregister,2022-06-02,BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.,BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0002559,
"""""",lobbyregister_client,lobbyregister,2022-02-23,BDSAV Bundesverband Deutscher Sonderabfall-verbrennungsanlagen e.V.,BDSAV Bundesverband Deutscher Sonderabfall-verbrennungsanlagen e.V.,norm_lobbyregister_eintrag_2022-09-19_#0002627,
"""""",lobbyregister_client,lobbyregister,2022-02-25,BDV e.V.,BDV e.V.,norm_lobbyregister_eintrag_2022-09-19_#0002648,
"""""",lobbyregister_client,lobbyregister,2022-09-01,bedrocan international,bedrocan international,norm_lobbyregister_eintrag_2022-09-19_#0002674,
"""""",lobbyregister_client,lobbyregister,2022-03-01,Bell Textron Inc.,Bell Textron Inc.,norm_lobbyregister_eintrag_2022-09-19_#0002715,
"""""",lobbyregister_client,lobbyregister,2022-04-26,BEM / Bundesverband eMobilität e.V.,BEM / Bundesverband eMobilität e.V.,norm_lobbyregister_eintrag_2022-09-19_#0002716,
"""""",lobbyregister_client,lobbyregister,2022-03-16,Bergische Industrie- und Handelskammer Wuppertal-Solingen-Remscheid,Bergische Industrie- und Handelskammer Wuppertal-Solingen-Remscheid,norm_lobbyregister_eintrag_2022-09-19_#0002744,
"""""",lobbyregister_client,lobbyregister,2022-04-26,Bergische Struktur- und Wirtschaftsförderungsgesellschaft mbH,Bergische Struktur und Wirtschaftsförderungsgesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0002745,
"""""",lobbyregister_client,lobbyregister,2022-04-20,Berlin Cures GmbH,Berlin Cures GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002764,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Berliner Stadtreinigungsbetriebe AöR,Berliner Stadtreinigungsbetriebe AöR,norm_lobbyregister_eintrag_2022-09-19_#0002801,
